,Hours from Start,Date,slope,5,10,15,49,54,61,66,74,95,101,107,124,129,134,138,144,149,184,189,195,201,206,211,254,260,265,270,309,316,328,334,346,351,368,374,386,391,396,400,1,WS_ms_Avg,WS_ms_Max,Solar_Rad,Start/End,invLen,Month
3986,-6,2013-11-02 01:00:00,-0.026101888,6.15,6.54,5.64,4.64,5.54,5.82,4.97,5.41,,6.41,6.15,7.27,6.18,6.03,7.47,8.02,6.61,6.38,6.0,6.86,6.26,6.66,6.0,4.69,,6.56,6.38,7.09,7.65,,7.52,6.99,7.19,7.07,6.97,6.15,6.03,6.51,6.86,,4.0,12.8,0.0,,0.0,11
3987,-5,2013-11-02 02:00:00,-0.587999726,5.69,5.26,5.18,5.02,4.66,5.87,4.92,5.23,,6.26,5.39,6.15,5.54,5.39,7.39,7.27,5.82,5.72,5.85,6.43,6.13,7.04,5.49,4.61,,6.38,6.41,6.46,7.22,,6.71,7.24,6.81,6.97,6.26,5.59,5.75,6.03,6.64,,2.3,6.5,0.0,,0.0,11
3988,-4,2013-11-02 03:00:00,-3.331712044,5.82,5.44,4.25,3.91,3.91,5.39,4.74,5.0,,5.64,5.08,4.58,4.97,5.28,5.41,5.9,5.28,5.1,4.66,4.87,5.18,5.36,4.92,3.93,,6.05,5.18,6.23,6.56,,6.76,7.57,6.91,5.98,5.51,5.44,5.44,5.85,6.36,,2.2,6.7,0.0,,0.0,11
3989,-3,2013-11-02 04:00:00,1.032181937,6.33,5.23,4.74,4.79,4.22,6.15,5.57,5.23,,5.82,5.18,5.85,5.69,5.49,6.79,6.86,5.85,5.64,5.75,6.2,6.0,6.33,5.49,4.71,,6.51,6.1,6.33,6.38,,6.79,6.84,6.18,6.48,6.28,5.23,5.33,5.18,6.1,,2.2,6.3,0.0,,0.0,11
3990,-2,2013-11-02 05:00:00,-1.666106558,5.13,4.04,3.93,3.67,3.51,5.18,4.25,4.74,,5.1,4.32,4.19,4.9,4.58,4.66,4.71,4.32,4.06,4.22,4.35,4.9,5.05,4.45,3.83,,6.03,4.74,5.44,5.64,,6.43,6.43,5.64,5.77,5.26,4.97,4.92,4.74,5.21,,1.7,3.5,0.0,,0.0,11
3991,-1,2013-11-02 06:00:00,-0.529674167,4.56,3.35,3.49,3.64,3.67,4.48,3.54,4.43,,4.27,4.27,3.72,4.09,3.62,2.9,3.7,3.78,3.62,3.75,3.72,3.83,4.22,3.67,3.14,,5.49,3.78,4.69,4.58,,4.56,4.43,4.92,6.18,3.93,4.79,4.09,4.06,4.45,,1.1,2.4,0.0,,0.0,11
3992,0,2013-11-02 07:00:00,1.39280944,4.51,3.75,4.27,3.93,2.93,4.58,3.78,4.51,,4.35,3.85,3.93,4.45,3.96,3.2,4.04,3.83,3.7,4.45,4.09,3.72,4.53,3.75,5.05,,5.82,3.91,5.33,3.83,,3.99,4.27,4.25,5.59,4.27,4.43,4.38,3.62,4.4,,1.1,2.4,8.05,Start,0.0,11
3993,1,2013-11-02 08:00:00,8.089784066,7.62,8.25,8.62,7.17,5.87,7.07,7.09,6.15,,5.64,5.08,7.72,7.42,6.05,6.94,6.76,5.54,5.69,7.02,7.34,7.17,7.37,5.28,5.9,,7.12,6.2,9.83,8.15,,6.69,5.41,5.28,7.75,6.66,5.77,5.95,4.71,5.62,,1.1,3.2,92.76,,0.0,11
3994,2,2013-11-02 09:00:00,1.824065775,8.05,9.51,11.3,6.18,6.84,7.77,7.22,7.37,,5.8,5.39,10.03,9.85,7.92,8.27,6.91,5.46,5.44,9.53,7.37,8.67,9.63,6.33,8.32,,7.82,8.32,10.49,8.82,,9.31,9.58,8.07,8.27,6.91,7.09,6.28,7.12,8.77,,1.7,5.2,206.99,,3.0,11
3995,3,2013-11-02 10:00:00,-1.203752887,9.71,12.51,12.32,8.17,9.73,9.29,10.54,8.59,,6.43,6.1,11.76,10.54,8.99,9.56,8.74,6.56,7.09,10.79,8.27,13.45,11.27,7.85,9.44,,8.15,10.44,13.33,11.52,,12.92,12.68,10.76,9.41,9.68,9.31,7.39,9.68,10.49,,1.8,5.2,278.65,End,0.0,11
3996,4,2013-11-02 11:00:00,-5.826902971,10.52,12.05,13.23,7.65,11.2,10.1,12.78,11.03,,7.17,7.22,12.82,12.44,9.56,10.88,9.26,7.62,7.95,9.98,9.11,15.08,12.61,9.51,8.72,,8.92,11.08,13.45,13.88,,14.55,14.53,13.11,10.08,10.49,11.35,7.97,11.76,12.12,,2.9,6.7,371.05,,0.0,11
3997,5,2013-11-02 12:00:00,-8.336512414,10.49,12.73,14.1,8.44,11.37,10.59,11.73,12.68,,7.62,7.54,13.93,12.27,10.12,11.71,10.25,8.47,9.24,11.32,9.93,15.84,13.11,9.68,9.26,,8.97,11.9,14.12,13.5,,14.98,15.56,15.03,10.44,11.2,11.71,9.78,12.73,14.27,,2.0,5.0,411.55,,0.0,11
3998,6,2013-11-02 13:00:00,-8.073328248,10.25,10.88,10.59,10.0,11.59,9.85,10.69,10.2,,7.92,7.7,11.32,10.39,9.06,10.98,9.98,8.57,8.77,10.1,10.2,12.36,10.66,8.44,8.87,,9.09,10.1,12.03,12.61,,12.9,13.26,13.23,10.61,11.42,11.71,11.64,12.75,13.16,,2.0,5.3,213.28,,0.0,11
4053,-6,2013-11-04 20:00:00,-4.803614932,-3.75,-4.05,-4.47,-4.38,-4.56,-3.84,-2.1,-1.64,-4.53,-4.35,-5.08,-4.59,-3.33,-3.99,-5.39,-4.23,-4.99,-5.08,-3.75,,-5.45,-3.36,-4.23,-4.11,,-1.27,-3.81,-2.86,-4.02,,-3.54,-3.42,-2.02,-3.72,-4.26,-2.02,-3.84,-2.45,-2.51,,1.4,2.5,0.0,,0.0,11
4054,-5,2013-11-04 21:00:00,-3.280512467,-3.93,-4.23,-4.71,-4.44,-5.11,-3.99,-2.22,-1.73,-4.47,-3.96,-5.26,-4.5,-3.45,-4.41,-5.51,-4.56,-5.36,-5.33,-2.83,,-6.07,-2.92,-4.17,-3.81,,-1.19,-3.57,-2.65,-4.29,,-4.11,-3.9,-2.33,-3.81,-4.2,-2.28,-3.93,-3.01,-3.39,,2.0,4.1,0.0,,0.0,11
4055,-4,2013-11-04 22:00:00,-2.388493393,-4.11,-4.47,-4.77,-4.47,-5.57,-4.23,-2.28,-1.79,-4.65,-3.96,-5.45,-4.83,-3.66,-4.59,-4.99,-4.35,-5.2,-5.45,-2.83,,-6.42,-2.8,-4.38,-3.81,,-1.13,-3.27,-2.86,-4.05,,-4.59,-4.2,-2.92,-4.38,-4.2,-2.57,-4.2,-3.45,-3.75,,1.8,3.9,0.0,,0.0,11
4056,-3,2013-11-04 23:00:00,-1.710788834,-4.14,-4.59,-4.9,-4.41,-5.98,-4.23,-2.39,-1.76,-4.59,-4.02,-5.7,-4.96,-3.81,-4.77,-5.51,-4.77,-5.51,-5.73,-3.24,,-6.61,-3.27,-4.35,-4.29,,-1.3,-3.69,-2.98,-4.2,,-4.68,-4.59,-3.33,-4.44,-4.29,-2.71,-3.96,-3.93,-3.9,,1.6,3.7,0.0,,0.0,11
4057,-2,2013-11-05 00:00:00,-1.126830062,-4.29,-4.83,-5.05,-4.65,-6.14,-4.35,-2.54,-1.81,-5.08,-4.29,-5.79,-5.08,-3.84,-4.96,-6.11,-5.14,-5.82,-6.07,-3.93,,-6.87,-3.24,-4.68,-4.83,,-1.36,-4.17,-3.12,-4.35,,-4.93,-5.02,-3.81,-4.71,-4.68,-3.04,-4.41,-4.32,-4.23,,1.6,4.2,0.0,,0.0,11
4058,-1,2013-11-05 01:00:00,-0.569763691,-4.44,-4.99,-5.26,-4.71,-6.33,-4.53,-2.63,-1.96,-5.39,-4.41,-6.07,-5.39,-3.93,-4.96,-6.33,-5.26,-5.95,-6.17,-4.11,,-7.06,-3.54,-4.83,-5.08,,-1.41,-4.29,-3.57,-4.14,,-5.2,-5.26,-4.23,-4.68,-4.65,-3.21,-4.53,-4.71,-4.41,,1.6,3.5,0.0,,0.0,11
4059,0,2013-11-05 02:00:00,0.079613471,-4.47,-4.87,-5.33,-4.29,-6.45,-4.26,-2.31,-1.76,-5.64,-4.29,-5.7,-5.05,-3.93,-5.08,-6.01,-5.02,-5.79,-6.2,-3.87,,-6.77,-3.75,-4.71,-4.96,,-1.3,-4.23,-3.6,-5.02,,-5.05,-5.26,-4.47,-4.44,-4.87,-3.15,-4.05,-4.8,-4.17,,1.4,3.1,0.0,Start,0.0,11
4060,1,2013-11-05 03:00:00,0.366364151,-4.02,-4.44,-4.65,-4.32,-5.67,-4.11,-2.28,-1.76,-5.17,-3.9,-5.11,-4.83,-3.75,-4.71,-5.51,-4.71,-5.61,-5.89,-4.02,,-6.26,-3.07,-4.59,-4.77,,-1.19,-3.69,-3.3,-4.53,,-4.68,-5.05,-4.29,-4.35,-4.53,-2.92,-3.99,-4.44,-4.17,,1.6,3.2,,,0.0,11
4061,2,2013-11-05 04:00:00,0.549157094,-4.47,-4.96,-5.51,-4.56,-6.2,-4.41,-2.51,-1.87,-5.17,-3.93,-5.42,-5.33,-4.02,-4.9,-5.64,-5.14,-5.76,-6.26,-4.2,,-6.52,-4.08,-4.59,-4.65,,-1.24,-3.6,-3.93,-4.83,,-5.02,-5.39,-4.56,-4.53,-4.83,-3.21,-4.41,-4.96,-4.44,,1.8,4.2,0.01,,0.0,11
4062,3,2013-11-05 05:00:00,1.696355915,-3.81,-4.08,-4.5,-3.48,-5.89,-3.87,-1.81,-1.53,-5.08,-3.75,-4.71,-4.02,-3.45,-4.05,-4.9,-4.29,-5.05,-5.36,-3.18,,-5.79,-2.98,-4.02,-4.14,,-0.9,-2.86,-3.04,-4.17,,-4.35,-4.77,-4.59,-4.05,-3.99,-2.89,-3.21,-4.56,-3.63,,1.0,3.8,0.0,,0.0,11
4063,4,2013-11-05 06:00:00,1.657367396,-3.87,-3.93,-4.71,-4.08,-5.33,-3.99,-2.16,-1.76,-4.44,-3.75,-4.8,-4.23,-3.18,-4.05,-4.53,-4.44,-5.05,-5.2,-3.57,,-5.76,-2.57,-3.99,-4.47,,-0.96,-2.92,-3.01,-3.66,,-4.32,-4.9,-4.2,-3.93,-3.69,-2.8,-3.81,-4.41,-4.02,,1.4,3.9,0.0,,0.0,11
4064,5,2013-11-05 07:00:00,1.399722955,-4.26,-4.74,-4.59,-4.44,-6.11,-4.29,-2.57,-1.87,-4.87,-3.96,-5.14,-4.83,-3.54,-4.68,-5.26,-5.33,-5.76,-5.95,-3.87,,-6.36,-3.33,-4.26,-3.87,,-1.02,-3.66,-3.21,-4.05,,-4.93,-5.39,-4.59,-4.56,-4.5,-3.21,-4.29,-4.96,-4.29,,1.2,2.7,4.32,,0.0,11
4065,6,2013-11-05 08:00:00,3.536964702,-1.87,-1.5,-2.04,-1.44,-4.47,-1.76,-0.51,-0.68,-2.86,-2.86,-3.63,-1.58,-1.41,-2.45,-2.57,-2.83,-3.69,-3.78,-2.33,,-3.04,-1.19,-2.95,-2.13,,0.16,-1.58,-0.37,-1.41,,-1.93,-2.57,-3.21,-1.76,-2.28,-1.84,-1.44,-2.95,-1.64,,1.3,3.6,78.13,,0.0,11
4072,-6,2013-11-05 15:00:00,-1.2970374,1.78,3.49,2.29,-1.36,1.45,2.77,4.48,3.25,1.29,0.93,0.14,7.85,4.17,1.94,3.3,3.09,0.83,0.93,2.02,,4.45,5.02,3.09,-0.09,,1.15,4.69,4.48,4.25,,6.61,4.66,5.1,3.56,2.93,2.45,0.22,3.33,2.72,,0.9,4.2,66.9,,0.0,11
