,Datetime,Date,Time,solarrad
0,5/19/2013 23:00,5/19/2013,23:00,0
1,5/20/2013 00:00,5/20/2013,00:00,0
2,5/20/2013 01:00,5/20/2013,01:00,0
3,5/20/2013 02:00,,,
4,5/20/2013 03:00,5/20/2013,03:00,0
5,5/20/2013 04:00,5/20/2013,04:00,0
6,5/20/2013 05:00,5/20/2013,05:00,1.13
7,5/20/2013 06:00,5/20/2013,06:00,9.57
8,5/20/2013 07:00,5/20/2013,07:00,28.77
9,5/20/2013 08:00,5/20/2013,08:00,131.2
10,5/20/2013 09:00,5/20/2013,09:00,125.54
11,5/20/2013 10:00,5/20/2013,10:00,128.41
12,5/20/2013 11:00,5/20/2013,11:00,257.1
13,5/20/2013 12:00,5/20/2013,12:00,340.88
14,5/20/2013 13:00,5/20/2013,13:00,128.59
15,5/20/2013 14:00,5/20/2013,14:00,165.41
16,5/20/2013 15:00,5/20/2013,15:00,151.04
17,5/20/2013 16:00,5/20/2013,16:00,199.27
18,5/20/2013 17:00,5/20/2013,17:00,111.89
19,5/20/2013 18:00,5/20/2013,18:00,48.75
20,5/20/2013 19:00,5/20/2013,19:00,23.24
21,5/20/2013 20:00,5/20/2013,20:00,0.57
22,5/20/2013 21:00,5/20/2013,21:00,0
23,5/20/2013 22:00,5/20/2013,22:00,0
24,5/20/2013 23:00,5/20/2013,23:00,0
25,5/21/2013 00:00,5/21/2013,00:00,0
26,5/21/2013 01:00,5/21/2013,01:00,0
27,5/21/2013 02:00,5/21/2013,02:00,0
28,5/21/2013 03:00,5/21/2013,03:00,0
29,5/21/2013 04:00,5/21/2013,04:00,0
30,5/21/2013 05:00,5/21/2013,05:00,2.39
31,5/21/2013 06:00,5/21/2013,06:00,12.66
32,5/21/2013 07:00,5/21/2013,07:00,40.08
33,5/21/2013 08:00,5/21/2013,08:00,47.06
34,5/21/2013 09:00,5/21/2013,09:00,37.93
35,5/21/2013 10:00,5/21/2013,10:00,77.5
36,5/21/2013 11:00,5/21/2013,11:00,143.95
37,5/21/2013 12:00,5/21/2013,12:00,334.51
38,5/21/2013 13:00,5/21/2013,13:00,582.53
39,5/21/2013 14:00,5/21/2013,14:00,249.64
40,5/21/2013 15:00,5/21/2013,15:00,114.5
41,5/21/2013 16:00,5/21/2013,16:00,60.67
42,5/21/2013 17:00,5/21/2013,17:00,45.72
43,5/21/2013 18:00,5/21/2013,18:00,22.93
44,5/21/2013 19:00,5/21/2013,19:00,4.65
45,5/21/2013 20:00,5/21/2013,20:00,0.03
46,5/21/2013 21:00,5/21/2013,21:00,0
47,5/21/2013 22:00,5/21/2013,22:00,0
48,5/21/2013 23:00,5/21/2013,23:00,0
49,5/22/2013 00:00,5/22/2013,00:00,0
50,5/22/2013 01:00,5/22/2013,01:00,0
51,5/22/2013 02:00,5/22/2013,02:00,0
52,5/22/2013 03:00,5/22/2013,03:00,0
53,5/22/2013 04:00,5/22/2013,04:00,0
54,5/22/2013 05:00,5/22/2013,05:00,1.17
55,5/22/2013 06:00,5/22/2013,06:00,9.94
56,5/22/2013 07:00,5/22/2013,07:00,37.58
57,5/22/2013 08:00,5/22/2013,08:00,86.12
58,5/22/2013 09:00,5/22/2013,09:00,180.77
59,5/22/2013 10:00,5/22/2013,10:00,239.14
60,5/22/2013 11:00,5/22/2013,11:00,197.11
61,5/22/2013 12:00,5/22/2013,12:00,203.58
62,5/22/2013 13:00,5/22/2013,13:00,288.71
63,5/22/2013 14:00,5/22/2013,14:00,199.18
64,5/22/2013 15:00,5/22/2013,15:00,118.36
65,5/22/2013 16:00,5/22/2013,16:00,69.68
66,5/22/2013 17:00,5/22/2013,17:00,16.65
67,5/22/2013 18:00,5/22/2013,18:00,19.41
68,5/22/2013 19:00,5/22/2013,19:00,9.78
69,5/22/2013 20:00,5/22/2013,20:00,0.22
70,5/22/2013 21:00,5/22/2013,21:00,0
71,5/22/2013 22:00,5/22/2013,22:00,0
72,5/22/2013 23:00,5/22/2013,23:00,0
73,5/23/2013 00:00,5/23/2013,00:00,0
74,5/23/2013 01:00,5/23/2013,01:00,0
75,5/23/2013 02:00,5/23/2013,02:00,0
76,5/23/2013 03:00,5/23/2013,03:00,0
77,5/23/2013 04:00,5/23/2013,04:00,0
78,5/23/2013 05:00,5/23/2013,05:00,3.95
79,5/23/2013 06:00,5/23/2013,06:00,21.03
80,5/23/2013 07:00,5/23/2013,07:00,59.71
81,5/23/2013 08:00,5/23/2013,08:00,106.68
82,5/23/2013 09:00,5/23/2013,09:00,146.46
83,5/23/2013 10:00,5/23/2013,10:00,238.15
