,Unnamed: 0,Date,slope,5,10,15,49,54,61,66,74,95,101,107,124,129,134,138,144,149,184,189,195,201,206,211,254,260,265,270,309,316,328,334,346,351,368,374,386,391,396,400,1,Time
27,4708,2013-12-02 03:00:00,1.745694107,-1.41,-1.81,-1.84,-1.36,-2.68,-1.64,-2.1,-2.48,-1.56,-1.73,-1.96,-1.53,-1.47,-1.99,-2.13,-1.5,-1.76,-1.7,-1.13,,-2.74,-1.24,-1.64,-1.24,,-1.19,-1.47,-1.16,-1.81,,-2.02,-2.25,-1.81,-1.13,-1.64,,-1.27,-2.19,,,3
37,4718,2013-12-02 13:00:00,-0.404820211,1.91,2.18,2.64,2.18,2.48,1.75,2.8,1.91,2.74,0.52,0.93,2.85,2.26,1.56,2.69,2.4,1.24,1.48,2.16,,2.82,2.16,0.99,1.59,,2.29,1.94,2.48,2.29,,2.85,2.77,2.24,2.4,2.18,,1.99,2.61,,,13
50,4731,2013-12-03 02:00:00,0.124297292,-0.65,-0.87,-0.82,-0.79,-1.53,-1.04,-1.07,-0.85,-1.19,-1.13,-1.02,-1.19,-0.9,-1.24,-1.41,-1.02,-1.21,-1.3,-1.02,,-1.81,-0.79,-1.02,-1.19,,-0.73,-0.87,-0.2,-1.02,,-0.85,-0.96,-0.59,-0.2,-1.07,,-0.06,-1.16,,,2
60,4741,2013-12-03 12:00:00,-3.082926121,3.27,4.22,4.19,3.01,3.85,2.8,4.66,3.8,3.88,0.41,1.1,5.54,4.17,2.45,3.04,3.09,1.53,1.97,3.99,,2.48,3.64,2.4,2.05,,-0.4,0.91,5.39,4.92,,6.28,5.18,3.35,3.88,4.09,,4.17,3.49,,,12
94,4775,2013-12-04 22:00:00,2.034890776,-1.64,-2.28,-0.85,-0.79,-4.17,-2.39,-2.02,0.33,-2.57,-0.51,0.77,-2.86,-2.16,-1.5,-2.74,-1.67,-0.28,0.14,-0.87,,-4.41,-1.36,-0.31,-0.23,,-1.7,-1.84,-1.93,-2.31,,-2.65,-3.24,-2.1,-0.23,-1.99,,-2.1,-2.6,,,22
125,4806,2013-12-06 05:00:00,-3.330415248,4.17,3.72,3.51,4.14,3.85,3.01,3.83,2.77,4.61,3.01,3.25,4.66,3.46,3.49,4.45,4.09,3.41,3.78,3.54,,4.22,4.66,3.09,3.09,,4.38,4.04,5.28,5.13,,5.49,5.13,5.0,4.97,5.26,,5.72,5.77,,,5
211,4892,2013-12-09 19:00:00,0.593452006,-2.8,-2.77,-3.42,-2.86,-2.95,-2.77,-2.95,-3.57,-2.86,-3.15,-3.84,-2.39,-2.74,-3.39,-2.89,-2.51,-3.54,-3.36,-2.48,,-2.63,-2.16,-2.98,-2.77,,-2.68,-2.51,-3.18,-3.45,,-3.27,-3.18,-2.77,-2.86,-3.21,,-3.42,-2.63,,,19
221,4902,2013-12-10 05:00:00,-2.008112803,-2.63,-2.63,-3.81,-3.01,-1.76,-2.95,-3.15,-4.53,-1.93,-3.93,-4.8,-2.42,-2.77,-3.87,-2.1,-2.71,-4.08,-4.2,-3.39,,-2.25,-2.57,-4.35,-4.14,,-2.71,-2.98,-1.81,-1.87,,-1.13,-1.76,-1.73,-2.22,-1.58,,-1.7,-2.36,,,5
283,4964,2013-12-12 19:00:00,0.142810358,-14.67,-13.62,-15.06,-15.55,-16.37,-14.12,-14.55,-15.31,-14.04,-14.83,-15.95,-13.58,-13.43,-14.98,-13.73,-13.85,-15.51,-15.55,-14.35,,-14.91,-13.2,-15.31,-15.47,,-14.67,-13.66,-14.95,-14.95,,-14.95,-14.83,-13.85,-14.28,-14.47,,-14.55,-13.73,,,19
295,4976,2013-12-13 07:00:00,-1.609212217,-11.87,-12.27,-13.35,-12.31,-11.04,-12.16,-12.68,-14.0,-11.69,-13.28,-13.93,-12.23,-12.23,-13.43,-12.16,-12.34,-13.43,-13.54,-12.79,,-11.69,-12.34,-13.89,-13.66,,-12.45,-12.79,-11.51,-11.22,,-10.44,-10.23,-10.79,-11.87,-11.47,,-11.08,-13.66,,,7
390,5071,2013-12-17 06:00:00,1.27600321,-21.22,-21.97,-20.79,-20.07,-24.77,-21.77,-22.22,-19.79,-22.37,-19.79,-18.7,-23.09,-20.84,-20.4,-22.22,-21.32,-19.93,-19.75,-20.5,,-24.11,-20.5,-19.61,-19.52,,-20.6,-21.87,-20.26,-21.32,,-22.58,-22.27,-21.32,-19.79,-21.62,,-19.98,-22.07,,,6
