Date,maxT,logger,elevation,lapseRate
6/16/2013 00:00,14.41,Temp368,607.0138889,3.5253397915047167
6/16/2013 01:00,13.91,Temp368,607.0138889,4.454167768685407
6/16/2013 02:00,12.82,Temp144,649.9305556,4.915047182725792
6/16/2013 03:00,13.5,Temp144,649.9305556,6.3441742558130105
6/16/2013 04:00,13.21,Temp144,649.9305556,6.068518332476737
6/16/2013 05:00,13.06,Temp049,654.5694444,5.788052064314403
6/16/2013 06:00,14.19,Temp254,775.1944444,4.681927023522929
6/16/2013 07:00,15.18,Temp265,600.7297297,2.7455500391924494
6/16/2013 08:00,16.06,Temp066,657.3611111,1.2039848875999861
6/16/2013 09:00,16.96,Temp124,596.8219178,-0.5376136711995243
6/16/2013 10:00,17.23,Temp124,596.8219178,-1.118660983892485
6/16/2013 11:00,19.53,Temp124,596.8219178,-2.282591203544421
6/16/2013 12:00,20.7,Temp066,657.3611111,-2.7123678505958915
6/16/2013 13:00,19.2,Temp066,657.3611111,-4.44783076379089
6/16/2013 14:00,19.18,Temp396,247.3142857,-5.964878086628306
6/16/2013 15:00,17.7,Temp396,247.3142857,-6.544885658476816
6/16/2013 16:00,16.01,Temp386,355.8055556,-6.192646981246102
6/16/2013 17:00,15.32,Temp396,247.3142857,-5.444217767908244
6/16/2013 18:00,15.13,Temp396,247.3142857,-5.288781948063384
6/16/2013 19:00,14.96,Temp396,247.3142857,-4.890957208884211
6/16/2013 20:00,14.82,Temp396,247.3142857,-3.7129609073307415
6/16/2013 21:00,14.67,Temp396,247.3142857,-3.78138001430581
6/16/2013 22:00,14.94,Temp400,341.7746479,-4.346772397742805
6/16/2013 23:00,14.53,Temp351,274.2222222,-3.8789088304329895
6/17/2013 00:00,14.12,Temp351,274.2222222,-4.1418296219979105
6/17/2013 01:00,13.31,Temp351,274.2222222,-4.357700515549943
6/17/2013 02:00,12.92,Temp400,341.7746479,-3.3823180714345242
6/17/2013 03:00,12.73,Temp400,341.7746479,-1.9960643599526373
6/17/2013 04:00,12.49,Temp400,341.7746479,-0.5988438209640183
6/17/2013 05:00,13.04,Temp391,464.8055556,-0.2303221093159484
6/17/2013 06:00,13.57,Temp391,464.8055556,-0.6239598824789726
6/17/2013 07:00,14.89,Temp391,464.8055556,-2.0014452432221654
6/17/2013 08:00,16.42,Temp400,341.7746479,-3.576507422592696
6/17/2013 09:00,17.32,Temp316,472.4520548,-3.9612711309249615
6/17/2013 10:00,18.94,Temp400,341.7746479,-3.459015052847729
6/17/2013 11:00,21.46,Temp066,657.3611111,-4.000576460972813
6/17/2013 12:00,22.42,Temp124,596.8219178,-4.350895182646377
6/17/2013 13:00,23.83,Temp124,596.8219178,-4.952974887083897
6/17/2013 14:00,20.17,Temp386,355.8055556,-5.728952010727162
6/17/2013 15:00,16.46,Temp351,274.2222222,-6.237174285975016
6/17/2013 16:00,16.87,Temp396,247.3142857,-4.645497456568795
6/17/2013 17:00,17.2,Temp396,247.3142857,-5.360688497022498
6/17/2013 18:00,17.08,Temp396,247.3142857,-5.542352464198322
6/17/2013 19:00,16.49,Temp396,247.3142857,-5.215186906737745
6/17/2013 20:00,16.42,Temp400,341.7746479,-5.018438250924046
6/17/2013 21:00,15.61,Temp400,341.7746479,-4.261595365743225
6/17/2013 22:00,14.94,Temp400,341.7746479,-5.17223196803312
6/17/2013 23:00,15.03,Temp400,341.7746479,-6.297659388106052
6/18/2013 00:00,14.6,Temp400,341.7746479,-6.629336885660023
6/18/2013 01:00,14.27,Temp400,341.7746479,-6.735125110421625
6/18/2013 02:00,13.69,Temp400,341.7746479,-5.789914141773046
6/18/2013 03:00,13.74,Temp400,341.7746479,-5.93436885600433
6/18/2013 04:00,12.73,Temp400,341.7746479,-6.095473910427888
6/18/2013 05:00,12.87,Temp400,341.7746479,-5.38365089097028
6/18/2013 06:00,13.5,Temp400,341.7746479,-5.917691108479823
6/18/2013 07:00,14.39,Temp400,341.7746479,-6.951311539081863
6/18/2013 08:00,15.06,Temp396,247.3142857,-6.927497026805287
6/18/2013 09:00,15.46,Temp396,247.3142857,-6.486650044979353
6/18/2013 10:00,13.79,Temp396,247.3142857,-6.317645887970658
6/18/2013 11:00,13.06,Temp351,274.2222222,-5.458485127624417
6/18/2013 12:00,13.35,Temp351,274.2222222,-6.371462084048289
6/18/2013 13:00,14.43,Temp124,596.8219178,-6.063482266472068
6/18/2013 14:00,15.46,Temp396,247.3142857,-6.444289843104778
6/18/2013 15:00,15.68,Temp396,247.3142857,-6.881629369956476
6/18/2013 16:00,15.53,Temp396,247.3142857,-6.537334950382002
6/18/2013 17:00,15.58,Temp396,247.3142857,-6.22475147586415
6/18/2013 18:00,15.51,Temp396,247.3142857,-6.200076716501686
6/18/2013 19:00,14.7,Temp396,247.3142857,-6.732895174020822
6/18/2013 20:00,13.26,Temp400,341.7746479,-5.53076778769368
6/18/2013 21:00,13.02,Temp400,341.7746479,-4.679286255407119
6/18/2013 22:00,12.29,Temp400,341.7746479,-3.389813479218001
6/18/2013 23:00,11.66,Temp334,403.8970588,-2.459699398448644
6/19/2013 00:00,12.15,Temp334,403.8970588,-2.321366936737429
6/19/2013 01:00,12.0,Temp334,403.8970588,-2.063307414502968
6/19/2013 02:00,11.66,Temp334,403.8970588,-1.503363608413331
6/19/2013 03:00,10.64,Temp334,403.8970588,-0.3855107164376911
6/19/2013 04:00,11.08,Temp334,403.8970588,-1.1173388787722078
6/19/2013 05:00,10.86,Temp334,403.8970588,-0.3793202403043412
6/19/2013 06:00,11.73,Temp049,654.5694444,-1.4045898469871156
6/19/2013 07:00,13.16,Temp316,472.4520548,-3.656419031622183
6/19/2013 08:00,14.94,Temp400,341.7746479,-6.519737264745188
6/19/2013 09:00,16.13,Temp316,472.4520548,-6.802568991340061
6/19/2013 10:00,17.18,Temp351,274.2222222,-6.585727383369491
6/19/2013 11:00,17.89,Temp351,274.2222222,-6.164681898443421
6/19/2013 12:00,19.6,Temp124,596.8219178,-5.683053560936569
6/19/2013 13:00,20.53,Temp124,596.8219178,-6.195439553444913
6/19/2013 14:00,21.13,Temp124,596.8219178,-6.318262934376947
6/19/2013 15:00,19.06,Temp124,596.8219178,-5.547485500456885
6/19/2013 16:00,18.65,Temp396,247.3142857,-5.547665547472258
6/19/2013 17:00,18.39,Temp396,247.3142857,-6.215189503778582
6/19/2013 18:00,17.2,Temp396,247.3142857,-6.791919724396823
6/19/2013 19:00,15.25,Temp400,341.7746479,-6.766819468703818
6/19/2013 20:00,13.95,Temp351,274.2222222,-6.197541551429649
6/19/2013 21:00,13.71,Temp334,403.8970588,-5.178200856638802
6/19/2013 22:00,12.92,Temp346,364.5753425,-4.859594520213438
6/19/2013 23:00,12.97,Temp400,341.7746479,-3.527842445297865
6/20/2013 00:00,11.42,Temp368,607.0138889,-0.451470012538144
6/20/2013 01:00,11.22,Temp368,607.0138889,0.9570396790580165
6/20/2013 02:00,11.3,Temp368,607.0138889,2.1594279405065757
6/20/2013 03:00,10.93,Temp368,607.0138889,2.8180540196949257
6/20/2013 04:00,10.2,Temp368,607.0138889,3.6335821773095565
6/20/2013 05:00,10.44,Temp368,607.0138889,4.384350399367145
6/20/2013 06:00,12.2,Temp049,654.5694444,3.1935869389910496
6/20/2013 07:00,13.55,Temp049,654.5694444,1.202575681786941
6/20/2013 08:00,15.27,Temp005,587.3424658,-1.293654959478442
6/20/2013 09:00,17.89,Temp316,472.4520548,-3.902807561692757
6/20/2013 10:00,18.87,Temp316,472.4520548,-4.512538861066025
6/20/2013 11:00,19.87,Temp066,657.3611111,-5.100440691539461
6/20/2013 12:00,20.32,Temp124,596.8219178,-5.116558551411177
6/20/2013 13:00,21.84,Temp124,596.8219178,-4.582568595300585
6/20/2013 14:00,23.71,Temp124,596.8219178,-4.22332222962229
6/20/2013 15:00,21.6,Temp124,596.8219178,-4.443062563682081
6/20/2013 16:00,21.2,Temp124,596.8219178,-4.151561009960484
6/20/2013 17:00,20.63,Temp374,486.5492958,-4.167176822610172
6/20/2013 18:00,20.01,Temp374,486.5492958,-4.202343590006147
6/20/2013 19:00,18.51,Temp391,464.8055556,-4.118776535866618
6/20/2013 20:00,17.32,Temp400,341.7746479,-2.586006654739172
6/20/2013 21:00,16.49,Temp391,464.8055556,-0.2877137637653268
6/20/2013 22:00,16.96,Temp368,607.0138889,1.6141851231584805
6/20/2013 23:00,16.56,Temp368,607.0138889,4.255931197816847
6/21/2013 00:00,15.87,Temp368,607.0138889,5.128395461593512
6/21/2013 01:00,15.75,Temp368,607.0138889,5.501754830694658
6/21/2013 02:00,15.84,Temp368,607.0138889,6.186907558357284
6/21/2013 03:00,14.51,Temp368,607.0138889,5.790398703843941
6/21/2013 04:00,14.94,Temp368,607.0138889,5.662514569018227
6/21/2013 05:00,15.03,Temp368,607.0138889,4.712094229235192
6/21/2013 06:00,15.01,Temp368,607.0138889,4.09472968003095
6/21/2013 07:00,15.56,Temp368,607.0138889,2.015480061267873
6/21/2013 08:00,16.84,Temp049,654.5694444,1.7305725260764977
6/21/2013 09:00,18.51,Temp066,657.3611111,-0.5491067490792402
6/21/2013 10:00,20.37,Temp066,657.3611111,-1.814471498503328
6/21/2013 11:00,23.35,Temp124,596.8219178,-2.6672322808599316
6/21/2013 12:00,24.32,Temp124,596.8219178,-4.204809980795975
6/21/2013 13:00,25.82,Temp124,596.8219178,-4.818202257530728
6/21/2013 14:00,26.7,Temp124,596.8219178,-4.80381869080263
6/21/2013 15:00,25.07,Temp124,596.8219178,-4.671204893205898
6/21/2013 16:00,23.91,Temp124,596.8219178,-4.881425836354952
6/21/2013 17:00,23.47,Temp374,486.5492958,-4.520375327292423
6/21/2013 18:00,22.66,Temp374,486.5492958,-4.426122560800706
6/21/2013 19:00,20.98,Temp391,464.8055556,-4.013954528264987
6/21/2013 20:00,20.1,Temp400,341.7746479,-2.9277572919814414
6/21/2013 21:00,19.32,Temp368,607.0138889,-0.7219652851725148
6/21/2013 22:00,18.72,Temp368,607.0138889,1.2036749285007418
6/21/2013 23:00,18.01,Temp368,607.0138889,3.1169031366618145
6/22/2013 00:00,18.44,Temp368,607.0138889,3.9197536544027263
6/22/2013 01:00,18.56,Temp368,607.0138889,4.932293289926813
6/22/2013 02:00,18.22,Temp368,607.0138889,5.018392883113751
6/22/2013 03:00,17.46,Temp368,607.0138889,4.868064673537729
6/22/2013 04:00,17.46,Temp368,607.0138889,4.877732890548696
6/22/2013 05:00,17.77,Temp368,607.0138889,4.296650434954318
6/22/2013 06:00,17.51,Temp368,607.0138889,3.749071081674599
6/22/2013 07:00,17.44,Temp368,607.0138889,2.2748280020570646
6/22/2013 08:00,18.99,Temp124,596.8219178,2.765559262329683
6/22/2013 09:00,21.44,Temp066,657.3611111,1.2166491620261533
6/22/2013 10:00,22.66,Temp124,596.8219178,-0.3804436438361196
6/22/2013 11:00,22.8,Temp066,657.3611111,-0.7053536887406976
6/22/2013 12:00,24.9,Temp124,596.8219178,-1.709353168220309
6/22/2013 13:00,22.9,Temp124,596.8219178,-3.1440081158523667
6/22/2013 14:00,22.85,Temp124,596.8219178,-2.2835654943103414
6/22/2013 15:00,22.87,Temp124,596.8219178,-2.168015844757965
6/22/2013 16:00,21.99,Temp391,464.8055556,-3.4339706342815894
6/22/2013 17:00,19.46,Temp396,247.3142857,-3.9311646282979145
6/22/2013 18:00,19.03,Temp396,247.3142857,-4.748193909188972
6/22/2013 19:00,18.18,Temp396,247.3142857,-4.691466557978339
6/22/2013 20:00,17.84,Temp396,247.3142857,-4.161275084340435
6/22/2013 21:00,17.53,Temp396,247.3142857,-3.6893163239113465
6/22/2013 22:00,17.37,Temp396,247.3142857,-2.934797403381084
6/22/2013 23:00,17.2,Temp396,247.3142857,-2.4599429145090825
6/23/2013 00:00,17.23,Temp396,247.3142857,-2.6446034628105832
6/23/2013 01:00,16.94,Temp396,247.3142857,-2.4746680278152073
6/23/2013 02:00,16.8,Temp400,341.7746479,-2.294925963344743
6/23/2013 03:00,16.65,Temp400,341.7746479,-1.8525032526716418
6/23/2013 04:00,16.7,Temp400,341.7746479,-1.7250948986893195
6/23/2013 05:00,16.7,Temp391,464.8055556,-1.1624969951059791
6/23/2013 06:00,16.84,Temp144,649.9305556,-0.5807120011634135
